Year,MonthStart,MonthEnd,Location,Total,16-29,30-49,50-64,>65,Female,Male,Hispanic,Asian,Black,White,Other
2022,July,September,LA,83.2,,,,,,,,,,,,
2022,July,September,ME,59.3,,,,,,,,,,,,
2022,July,September,MD,60.8,,,,,,,,,,,,
2022,July,September,MA,59.8,,,,,,,,,,,,
2022,July,September,MI,69.8,,,,,,,,,,,,
2022,July,September,MN,70.7,,,,,,,,,,,,
2022,July,September,MS,81.1,,,,,,,,,,,,
2022,July,September,MO,72.9,,,,,,,,,,,,
2022,July,September,MT,74.8,,,,,,,,,,,,
2022,July,September,NE,78.0,,,,,,,,,,,,
2022,July,September,NV,81.3,,,,,,,,,,,,
2022,July,September,NH,67.0,,,,,,,,,,,,
2022,July,September,NJ,73.0,,,,,,,,,,,,
2022,July,September,NM,66.2,,,,,,,,,,,,
2022,July,September,NY,64.4,,,,,,,,,,,,
2022,July,September,NC,65.5,,,,,,,,,,,,
2022,July,September,ND,81.1,,,,,,,,,,,,
2022,July,September,OH,74.0,,,,,,,,,,,,
2022,July,September,OK,71.6,,,,,,,,,,,,
2022,July,September,OR,63.9,,,,,,,,,,,,
2022,July,September,PA,69.6,,,,,,,,,,,,
2022,July,September,RI,,,,,,,,,,,,,
2022,July,September,SC,69.8,,,,,,,,,,,,
2022,July,September,SD,82.7,,,,,,,,,,,,
2022,July,September,TN,75.6,,,,,,,,,,,,
2022,July,September,TX,80.3,,,,,,,,,,,,
2022,July,September,UT,76.1,,,,,,,,,,,,
2022,July,September,VT,56.3,,,,,,,,,,,,
2022,July,September,VA,64.4,,,,,,,,,,,,
2022,July,September,WA,66.8,,,,,,,,,,,,
2022,July,September,WV,71.1,,,,,,,,,,,,
2022,July,September,WI,70.9,,,,,,,,,,,,
2022,July,September,WY,79.4,,,,,,,,,,,,
2022,October,December,US,77.5,87.1,84.8,77.5,56.5,75.7,79.3,80.6,66.1,77.1,77.7,77.0,
2022,October,December,AL,81.0,,,,,,,,,,,,
2022,October,December,AZ,80.1,,,,,,,,,,,,
2022,October,December,AR,79.9,,,,,,,,,,,,
2022,October,December,CA,70.3,,,,,,,,,,,,
2022,October,December,CO,78.6,,,,,,,,,,,,
2022,October,December,CT,71.9,,,,,,,,,,,,
2022,October,December,DC,65.4,,,,,,,,,,,,
2022,October,December,DE,,,,,,,,,,,,,
2022,October,December,FL,,,,,,,,,,,,,
2022,October,December,GA,82.1,,,,,,,,,,,,
2022,October,December,ID,80.8,,,,,,,,,,,,
2022,October,December,IL,80.2,,,,,,,,,,,,
2022,October,December,IN,85.0,,,,,,,,,,,,
2022,October,December,IA,90.6,,,,,,,,,,,,
2022,October,December,KS,82.3,,,,,,,,,,,,
2022,October,December,KY,81.2,,,,,,,,,,,,
2022,October,December,LA,84.9,,,,,,,,,,,,
2022,October,December,ME,65.4,,,,,,,,,,,,
2022,October,December,MD,66.5,,,,,,,,,,,,
2022,October,December,MA,72.9,,,,,,,,,,,,
2022,October,December,MI,77.2,,,,,,,,,,,,
2022,October,December,MN,78.0,,,,,,,,,,,,
2022,October,December,MS,82.0,,,,,,,,,,,,
2022,October,December,MO,78.3,,,,,,,,,,,,
2022,October,December,MT,82.2,,,,,,,,,,,,
2022,October,December,NE,83.6,,,,,,,,,,,,
2022,October,December,NV,85.2,,,,,,,,,,,,
2022,October,December,NH,72.8,,,,,,,,,,,,
2022,October,December,NJ,78.4,,,,,,,,,,,,
2022,October,December,NM,74.4,,,,,,,,,,,,
2022,October,December,NY,80.1,,,,,,,,,,,,
2022,October,December,NC,72.9,,,,,,,,,,,,
2022,October,December,ND,88.5,,,,,,,,,,,,
2022,October,December,OH,79.3,,,,,,,,,,,,
2022,October,December,OK,86.5,,,,,,,,,,,,
2022,October,December,OR,70.2,,,,,,,,,,,,
2022,October,December,PA,78.9,,,,,,,,,,,,
2022,October,December,RI,,,,,,,,,,,,,
2022,October,December,SC,79.1,,,,,,,,,,,,
2022,October,December,SD,84.7,,,,,,,,,,,,
2022,October,December,TN,80.8,,,,,,,,,,,,
2022,October,December,TX,83.1,,,,,,,,,,,,
2022,October,December,UT,81.4,,,,,,,,,,,,
2022,October,December,VT,64.4,,,,,,,,,,,,
2022,October,December,VA,69.7,,,,,,,,,,,,
2022,October,December,WA,74.2,,,,,,,,,,,,
2022,October,December,WV,76.4,,,,,,,,,,,,
2022,October,December,WI,77.5,,,,,,,,,,,,
2022,October,December,WY,80.9,,,,,,,,,,,,
2023,January,March,US,81.9,85.9,88.3,81.3,67.0,83.0,80.7,85.3,72.9,81.5,81.7,84.6,
2023,January,March,AL,90.1,,,,,,,,,,,,
2023,January,March,AZ,85.3,,,,,,,,,,,,
2023,January,March,AR,,,,,,,,,,,,,
2023,January,March,CA,76.4,,,,,,,,,,,,
2023,January,March,CO,80.4,,,,,,,,,,,,
2023,January,March,CT,77.6,,,,,,,,,,,,
2023,January,March,DC,,,,,,,,,,,,,
2023,January,March,DE,,,,,,,,,,,,,
2023,January,March,FL,,,,,,,,,,,,,
2023,January,March,GA,84.4,,,,,,,,,,,,
2023,January,March,ID,82.4,,,,,,,,,,,,
2023,January,March,IL,83.5,,,,,,,,,,,,
2023,January,March,IN,84.3,,,,,,,,,,,,
2023,January,March,IA,90.7,,,,,,,,,,,,
2023,January,March,KS,88.9,,,,,,,,,,,,
2023,January,March,KY,87.5,,,,,,,,,,,,
2023,January,March,LA,93.2,,,,,,,,,,,,
2023,January,March,ME,78.7,,,,,,,,,,,,
2023,January,March,MD,76.2,,,,,,,,,,,,
2023,January,March,MA,77.5,,,,,,,,,,,,
2023,January,March,MI,81.0,,,,,,,,,,,,
2023,January,March,MN,82.3,,,,,,,,,,,,
2023,January,March,MS,91.7,,,,,,,,,,,,
2023,January,March,MO,85.2,,,,,,,,,,,,
2023,January,March,MT,86.5,,,,,,,,,,,,
2023,January,March,NE,84.6,,,,,,,,,,,,
2023,January,March,NV,86.7,,,,,,,,,,,,
2023,January,March,NH,76.1,,,,,,,,,,,,
2023,January,March,NJ,85.3,,,,,,,,,,,,
2023,January,March,NM,74.9,,,,,,,,,,,,
2023,January,March,NY,77.0,,,,,,,,,,,,
2023,January,March,NC,73.9,,,,,,,,,,,,
2023,January,March,ND,91.0,,,,,,,,,,,,
2023,January,March,OH,84.2,,,,,,,,,,,,
2023,January,March,OK,80.5,,,,,,,,,,,,
2023,January,March,OR,75.6,,,,,,,,,,,,
2023,January,March,PA,83.9,,,,,,,,,,,,
2023,January,March,RI,,,,,,,,,,,,,
2023,January,March,SC,77.1,,,,,,,,,,,,
2023,January,March,SD,91.6,,,,,,,,,,,,
2023,January,March,TN,84.2,,,,,,,,,,,,
2023,January,March,TX,90.0,,,,,,,,,,,,
2023,January,March,UT,86.9,,,,,,,,,,,,
